ID1_CITY,year,week,case_c,pop_total,case_per_capita(‰)
0101,2016,1,6,37520,0.16
0101,2016,2,35,37520,0.933
0101,2016,3,35,37520,0.933
0101,2016,4,45,37520,1.199
0101,2016,5,45,37520,1.199
0101,2016,6,42,37520,1.119
0101,2016,7,42,37520,1.119
0101,2016,8,55,37520,1.466
0101,2016,9,62,37520,1.652
0101,2016,10,50,37520,1.333
0101,2016,11,57,37520,1.519
0101,2016,12,45,37520,1.199
0101,2016,13,42,37520,1.119
0101,2016,14,47,37520,1.253
0101,2016,15,42,37520,1.119
0101,2016,16,39,37520,1.039
0101,2016,17,50,37520,1.333
0101,2016,18,34,37520,0.906
0101,2016,19,30,37520,0.8
0101,2016,20,40,37520,1.066
0101,2016,21,46,37520,1.226
0101,2016,22,33,37520,0.88
0101,2016,23,42,37520,1.119
0101,2016,24,27,37520,0.72
0101,2016,25,34,37520,0.906
0101,2016,26,33,37520,0.88
0101,2016,27,33,37520,0.88
0101,2016,28,34,37520,0.906
0101,2016,29,31,37520,0.826
0101,2016,30,29,37520,0.773
0101,2016,31,35,37520,0.933
0101,2016,32,28,37520,0.746
0101,2016,33,27,37520,0.72
0101,2016,34,36,37520,0.959
0101,2016,35,35,37520,0.933
0101,2016,36,29,37520,0.773
0101,2016,37,23,37520,0.613
0101,2016,38,23,37520,0.613
0101,2016,39,32,37520,0.853
0101,2016,40,24,37520,0.64
0101,2016,41,41,37520,1.093
0101,2016,42,43,37520,1.146
0101,2016,43,26,37520,0.693
0101,2016,44,26,37520,0.693
0101,2016,45,33,37520,0.88
0101,2016,46,36,37520,0.959
0101,2016,47,38,37520,1.013
0101,2016,48,29,37520,0.773
0101,2016,49,38,37520,1.013
0101,2016,50,36,37520,0.959
0101,2016,51,31,37520,0.826
0101,2016,52,33,37520,0.88
0101,2016,53,34,37520,0.906
0101,2017,1,41,39166,1.047
0101,2017,2,49,39166,1.251
0101,2017,3,39,39166,0.996
0101,2017,4,43,39166,1.098
0101,2017,5,47,39166,1.2
0101,2017,6,39,39166,0.996
0101,2017,7,48,39166,1.226
0101,2017,8,43,39166,1.098
0101,2017,9,41,39166,1.047
0101,2017,10,36,39166,0.919
0101,2017,11,40,39166,1.021
0101,2017,12,50,39166,1.277
0101,2017,13,42,39166,1.072
0101,2017,14,39,39166,0.996
0101,2017,15,49,39166,1.251
0101,2017,16,43,39166,1.098
0101,2017,17,38,39166,0.97
0101,2017,18,39,39166,0.996
0101,2017,19,48,39166,1.226
0101,2017,20,45,39166,1.149
0101,2017,21,43,39166,1.098
0101,2017,22,41,39166,1.047
0101,2017,23,41,39166,1.047
0101,2017,24,49,39166,1.251
0101,2017,25,36,39166,0.919
0101,2017,26,43,39166,1.098
0101,2017,27,38,39166,0.97
0101,2017,28,43,39166,1.098
0101,2017,29,30,39166,0.766
0101,2017,30,36,39166,0.919
0101,2017,31,31,39166,0.792
0101,2017,32,38,39166,0.97
0101,2017,33,33,39166,0.843
0101,2017,34,45,39166,1.149
0101,2017,35,31,39166,0.792
0101,2017,36,36,39166,0.919
0101,2017,37,44,39166,1.123
0101,2017,38,43,39166,1.098
0101,2017,39,36,39166,0.919
0101,2017,40,29,39166,0.74
0101,2017,41,27,39166,0.689
0101,2017,42,23,39166,0.587
0101,2017,43,33,39166,0.843
0101,2017,44,34,39166,0.868
0101,2017,45,33,39166,0.843
0101,2017,46,41,39166,1.047
0101,2017,47,40,39166,1.021
0101,2017,48,34,39166,0.868
0101,2017,49,39,39166,0.996
0101,2017,50,42,39166,1.072
0101,2017,51,38,39166,0.97
0101,2017,52,39,39166,0.996
0101,2017,53,3,39166,0.077
0101,2018,1,38,40842,0.93
0101,2018,2,42,40842,1.028
0101,2018,3,52,40842,1.273
0101,2018,4,40,40842,0.979
0101,2018,5,54,40842,1.322
0101,2018,6,45,40842,1.102
0101,2018,7,38,40842,0.93
0101,2018,8,55,40842,1.347
0101,2018,9,58,40842,1.42
0101,2018,10,58,40842,1.42
0101,2018,11,64,40842,1.567
0101,2018,12,54,40842,1.322
0101,2018,13,53,40842,1.298
0101,2018,14,55,40842,1.347
0101,2018,15,62,40842,1.518
0101,2018,16,47,40842,1.151
0101,2018,17,52,40842,1.273
0101,2018,18,47,40842,1.151
0101,2018,19,45,40842,1.102
0101,2018,20,32,40842,0.784
0101,2018,21,30,40842,0.735
0101,2018,22,43,40842,1.053
0101,2018,23,36,40842,0.881
0101,2018,24,37,40842,0.906
0101,2018,25,36,40842,0.881
0101,2018,26,32,40842,0.784
0101,2018,27,31,40842,0.759
0101,2018,28,39,40842,0.955
0101,2018,29,32,40842,0.784
0101,2018,30,30,40842,0.735
