ID1_CITY,year,week,case_c,pop_total,case_per_capita(‰)
0101,2016,1,3,37520,0.08
0101,2016,2,46,37520,1.226
0101,2016,3,53,37520,1.413
0101,2016,4,53,37520,1.413
0101,2016,5,60,37520,1.599
0101,2016,6,83,37520,2.212
0101,2016,7,22,37520,0.586
0101,2016,8,67,37520,1.786
0101,2016,9,57,37520,1.519
0101,2016,10,71,37520,1.892
0101,2016,11,62,37520,1.652
0101,2016,12,61,37520,1.626
0101,2016,13,41,37520,1.093
0101,2016,14,69,37520,1.839
0101,2016,15,28,37520,0.746
0101,2016,16,47,37520,1.253
0101,2016,17,45,37520,1.199
0101,2016,18,55,37520,1.466
0101,2016,19,46,37520,1.226
0101,2016,20,68,37520,1.812
0101,2016,21,59,37520,1.572
0101,2016,22,54,37520,1.439
0101,2016,23,41,37520,1.093
0101,2016,24,46,37520,1.226
0101,2016,25,43,37520,1.146
0101,2016,26,53,37520,1.413
0101,2016,27,35,37520,0.933
0101,2016,28,46,37520,1.226
0101,2016,29,50,37520,1.333
0101,2016,30,60,37520,1.599
0101,2016,31,47,37520,1.253
0101,2016,32,48,37520,1.279
0101,2016,33,32,37520,0.853
0101,2016,34,40,37520,1.066
0101,2016,35,39,37520,1.039
0101,2016,36,37,37520,0.986
0101,2016,37,37,37520,0.986
0101,2016,38,39,37520,1.039
0101,2016,39,53,37520,1.413
0101,2016,40,24,37520,0.64
0101,2016,41,49,37520,1.306
0101,2016,42,43,37520,1.146
0101,2016,43,47,37520,1.253
0101,2016,44,34,37520,0.906
0101,2016,45,50,37520,1.333
0101,2016,46,52,37520,1.386
0101,2016,47,52,37520,1.386
0101,2016,48,58,37520,1.546
0101,2016,49,47,37520,1.253
0101,2016,50,52,37520,1.386
0101,2016,51,51,37520,1.359
0101,2016,52,46,37520,1.226
0101,2016,53,61,37520,1.626
0101,2018,1,44,40842,1.077
0101,2018,2,57,40842,1.396
0101,2018,3,65,40842,1.591
0101,2018,4,58,40842,1.42
0101,2018,5,57,40842,1.396
0101,2018,6,72,40842,1.763
0101,2018,7,45,40842,1.102
0101,2018,8,54,40842,1.322
0101,2018,9,56,40842,1.371
0101,2018,10,56,40842,1.371
0101,2018,11,58,40842,1.42
0101,2018,12,51,40842,1.249
0101,2018,13,70,40842,1.714
0101,2018,14,43,40842,1.053
0101,2018,15,71,40842,1.738
0101,2018,16,64,40842,1.567
0101,2018,17,73,40842,1.787
0101,2018,18,44,40842,1.077
0101,2018,19,52,40842,1.273
0101,2018,20,54,40842,1.322
0101,2018,21,52,40842,1.273
0101,2018,22,48,40842,1.175
0101,2018,23,55,40842,1.347
0101,2018,24,55,40842,1.347
0101,2018,25,41,40842,1.004
0101,2018,26,57,40842,1.396
0101,2018,27,62,40842,1.518
0101,2018,28,36,40842,0.881
0101,2018,29,47,40842,1.151
0101,2018,30,44,40842,1.077
0101,2018,31,47,40842,1.151
0101,2018,32,44,40842,1.077
0101,2018,33,45,40842,1.102
0101,2018,34,45,40842,1.102
0101,2018,35,38,40842,0.93
0101,2018,36,42,40842,1.028
0101,2018,37,36,40842,0.881
0101,2018,38,41,40842,1.004
0101,2018,39,47,40842,1.151
0101,2018,40,46,40842,1.126
0101,2018,41,39,40842,0.955
0101,2018,42,49,40842,1.2
0101,2018,43,37,40842,0.906
0101,2018,44,49,40842,1.2
0101,2018,45,43,40842,1.053
0101,2018,46,41,40842,1.004
0101,2018,47,47,40842,1.151
0101,2018,48,41,40842,1.004
0101,2018,49,62,40842,1.518
0101,2018,50,55,40842,1.347
0101,2018,51,52,40842,1.273
0101,2018,52,49,40842,1.2
0101,2018,53,9,40842,0.22
0101,2019,1,38,41018,0.926
0101,2019,2,59,41018,1.438
0101,2019,3,38,41018,0.926
0101,2019,4,46,41018,1.121
0101,2019,5,83,41018,2.024
0101,2019,6,15,41018,0.366
0101,2019,7,59,41018,1.438
0101,2019,8,62,41018,1.512
0101,2019,9,50,41018,1.219
0101,2019,10,49,41018,1.195
0101,2019,11,57,41018,1.39
0101,2019,12,58,41018,1.414
0101,2019,13,66,41018,1.609
0101,2019,14,43,41018,1.048
0101,2019,15,61,41018,1.487
0101,2019,16,56,41018,1.365
0101,2019,17,55,41018,1.341
0101,2019,18,49,41018,1.195
0101,2019,19,52,41018,1.268
0101,2019,20,59,41018,1.438
0101,2019,21,38,41018,0.926
0101,2019,22,55,41018,1.341
0101,2019,23,41,41018,1.0
0101,2019,24,67,41018,1.633
0101,2019,25,53,41018,1.292
0101,2019,26,56,41018,1.365
0101,2019,27,38,41018,0.926
0101,2019,28,45,41018,1.097
0101,2019,29,41,41018,1.0
0101,2019,30,43,41018,1.048
0101,2019,31,36,41018,0.878
0101,2019,32,42,41018,1.024
0101,2019,33,33,41018,0.805
0101,2019,34,54,41018,1.316
0101,2019,35,39,41018,0.951
0101,2019,36,43,41018,1.048
0101,2019,37,33,41018,0.805
0101,2019,38,41,41018,1.0
0101,2019,39,46,41018,1.121
0101,2019,40,48,41018,1.17
0101,2019,41,36,41018,0.878
0101,2019,42,46,41018,1.121
0101,2019,43,54,41018,1.316
0101,2019,44,60,41018,1.463
0101,2019,45,50,41018,1.219
0101,2019,46,45,41018,1.097
0101,2019,47,41,41018,1.0
0101,2019,48,51,41018,1.243
0101,2019,49,65,41018,1.585
0101,2019,50,57,41018,1.39
0101,2019,51,49,41018,1.195
0101,2019,52,46,41018,1.121
0101,2019,53,23,41018,0.561
0102,2016,1,11,43914,0.25
0102,2016,2,78,43914,1.776
0102,2016,3,66,43914,1.503
0102,2016,4,72,43914,1.64
0102,2016,5,68,43914,1.548
0102,2016,6,114,43914,2.596
0102,2016,7,36,43914,0.82
0102,2016,8,85,43914,1.936
0102,2016,9,88,43914,2.004
0102,2016,10,91,43914,2.072
0102,2016,11,79,43914,1.799
0102,2016,12,69,43914,1.571
0102,2016,13,65,43914,1.48
0102,2016,14,81,43914,1.845
0102,2016,15,57,43914,1.298
0102,2016,16,81,43914,1.845
0102,2016,17,80,43914,1.822
0102,2016,18,83,43914,1.89
0102,2016,19,65,43914,1.48
0102,2016,20,67,43914,1.526
0102,2016,21,69,43914,1.571
0102,2016,22,55,43914,1.252
0102,2016,23,71,43914,1.617
0102,2016,24,45,43914,1.025
0102,2016,25,46,43914,1.048
0102,2016,26,60,43914,1.366
0102,2016,27,49,43914,1.116
0102,2016,28,43,43914,0.979
0102,2016,29,69,43914,1.571
0102,2016,30,62,43914,1.412
0102,2016,31,56,43914,1.275
0102,2016,32,51,43914,1.161
0102,2016,33,55,43914,1.252
0102,2016,34,67,43914,1.526
0102,2016,35,62,43914,1.412
0102,2016,36,64,43914,1.457
0102,2016,37,56,43914,1.275
0102,2016,38,43,43914,0.979
0102,2016,39,47,43914,1.07
0102,2016,40,53,43914,1.207
0102,2016,41,64,43914,1.457
0102,2016,42,55,43914,1.252
0102,2016,43,53,43914,1.207
0102,2016,44,62,43914,1.412
0102,2016,45,52,43914,1.184
0102,2016,46,50,43914,1.139
0102,2016,47,47,43914,1.07
0102,2016,48,60,43914,1.366
0102,2016,49,54,43914,1.23
0102,2016,50,71,43914,1.617
0102,2016,51,59,43914,1.344
0102,2016,52,72,43914,1.64
0102,2016,53,65,43914,1.48
0102,2018,1,64,48582,1.317
0102,2018,2,56,48582,1.153
0102,2018,3,64,48582,1.317
0102,2018,4,76,48582,1.564
0102,2018,5,54,48582,1.112
0102,2018,6,73,48582,1.503
0102,2018,7,49,48582,1.009
0102,2018,8,77,48582,1.585
0102,2018,9,78,48582,1.606
0102,2018,10,79,48582,1.626
0102,2018,11,77,48582,1.585
0102,2018,12,83,48582,1.708
0102,2018,13,77,48582,1.585
0102,2018,14,54,48582,1.112
0102,2018,15,70,48582,1.441
0102,2018,16,59,48582,1.214
0102,2018,17,70,48582,1.441
0102,2018,18,58,48582,1.194
0102,2018,19,77,48582,1.585
0102,2018,20,62,48582,1.276
0102,2018,21,70,48582,1.441
0102,2018,22,54,48582,1.112
0102,2018,23,67,48582,1.379
0102,2018,24,60,48582,1.235
0102,2018,25,49,48582,1.009
0102,2018,26,56,48582,1.153
0102,2018,27,48,48582,0.988
0102,2018,28,51,48582,1.05
0102,2018,29,46,48582,0.947
0102,2018,30,56,48582,1.153
0102,2018,31,48,48582,0.988
0102,2018,32,64,48582,1.317
0102,2018,33,57,48582,1.173
0102,2018,34,57,48582,1.173
0102,2018,35,63,48582,1.297
0102,2018,36,48,48582,0.988
0102,2018,37,50,48582,1.029
0102,2018,38,63,48582,1.297
0102,2018,39,45,48582,0.926
0102,2018,40,57,48582,1.173
0102,2018,41,28,48582,0.576
0102,2018,42,58,48582,1.194
0102,2018,43,51,48582,1.05
0102,2018,44,58,48582,1.194
0102,2018,45,51,48582,1.05
0102,2018,46,66,48582,1.359
0102,2018,47,54,48582,1.112
0102,2018,48,72,48582,1.482
0102,2018,49,69,48582,1.42
0102,2018,50,60,48582,1.235
0102,2018,51,59,48582,1.214
0102,2018,52,78,48582,1.606
0102,2018,53,4,48582,0.082
0102,2019,1,37,48695,0.76
0102,2019,2,74,48695,1.52
0102,2019,3,66,48695,1.355
0102,2019,4,77,48695,1.581
0102,2019,5,94,48695,1.93
0102,2019,6,24,48695,0.493
0102,2019,7,76,48695,1.561
0102,2019,8,75,48695,1.54
0102,2019,9,62,48695,1.273
0102,2019,10,92,48695,1.889
0102,2019,11,79,48695,1.622
0102,2019,12,81,48695,1.663
0102,2019,13,87,48695,1.787
0102,2019,14,64,48695,1.314
0102,2019,15,82,48695,1.684
0102,2019,16,79,48695,1.622
0102,2019,17,62,48695,1.273
0102,2019,18,63,48695,1.294
0102,2019,19,70,48695,1.438
0102,2019,20,62,48695,1.273
0102,2019,21,75,48695,1.54
0102,2019,22,61,48695,1.253
0102,2019,23,56,48695,1.15
0102,2019,24,71,48695,1.458
0102,2019,25,65,48695,1.335
0102,2019,26,69,48695,1.417
0102,2019,27,67,48695,1.376
0102,2019,28,79,48695,1.622
0102,2019,29,61,48695,1.253
0102,2019,30,54,48695,1.109
0102,2019,31,42,48695,0.863
0102,2019,32,52,48695,1.068
0102,2019,33,64,48695,1.314
0102,2019,34,67,48695,1.376
0102,2019,35,59,48695,1.212
0102,2019,36,62,48695,1.273
0102,2019,37,53,48695,1.088
0102,2019,38,60,48695,1.232
0102,2019,39,64,48695,1.314
0102,2019,40,58,48695,1.191
0102,2019,41,63,48695,1.294
0102,2019,42,50,48695,1.027
0102,2019,43,58,48695,1.191
0102,2019,44,61,48695,1.253
0102,2019,45,64,48695,1.314
0102,2019,46,51,48695,1.047
0102,2019,47,67,48695,1.376
0102,2019,48,62,48695,1.273
0102,2019,49,60,48695,1.232
0102,2019,50,60,48695,1.232
0102,2019,51,71,48695,1.458
0102,2019,52,75,48695,1.54
0102,2019,53,30,48695,0.616
0109,2016,1,6,18089,0.332
