ID1_CITY,year,week,case_c,pop_total,case_per_capita(‰)
0101,2016,1,9,37520,0.24
0101,2016,2,31,37520,0.826
0101,2016,3,43,37520,1.146
0101,2016,4,70,37520,1.866
0101,2016,5,80,37520,2.132
0101,2016,6,105,37520,2.799
0101,2016,7,99,37520,2.639
0101,2016,8,131,37520,3.491
0101,2016,9,122,37520,3.252
0101,2016,10,134,37520,3.571
0101,2016,11,138,37520,3.678
0101,2016,12,102,37520,2.719
0101,2016,13,90,37520,2.399
0101,2016,14,84,37520,2.239
0101,2016,15,58,37520,1.546
0101,2016,16,53,37520,1.413
0101,2016,17,48,37520,1.279
0101,2016,18,47,37520,1.253
0101,2016,19,28,37520,0.746
0101,2016,20,21,37520,0.56
0101,2016,21,24,37520,0.64
0101,2016,22,24,37520,0.64
0101,2016,23,12,37520,0.32
0101,2016,24,16,37520,0.426
0101,2016,25,9,37520,0.24
0101,2016,26,11,37520,0.293
0101,2016,27,16,37520,0.426
0101,2016,28,10,37520,0.267
0101,2016,29,12,37520,0.32
0101,2016,30,11,37520,0.293
0101,2016,31,14,37520,0.373
0101,2016,32,9,37520,0.24
0101,2016,33,18,37520,0.48
0101,2016,34,14,37520,0.373
0101,2016,35,22,37520,0.586
0101,2016,36,8,37520,0.213
0101,2016,37,22,37520,0.586
0101,2016,38,13,37520,0.346
0101,2016,39,17,37520,0.453
0101,2016,40,18,37520,0.48
0101,2016,41,21,37520,0.56
0101,2016,42,21,37520,0.56
0101,2016,43,34,37520,0.906
0101,2016,44,27,37520,0.72
0101,2016,45,32,37520,0.853
0101,2016,46,27,37520,0.72
0101,2016,47,35,37520,0.933
0101,2016,48,30,37520,0.8
0101,2016,49,30,37520,0.8
0101,2016,50,28,37520,0.746
0101,2016,51,30,37520,0.8
0101,2016,52,30,37520,0.8
0101,2016,53,34,37520,0.906
0101,2017,1,43,39166,1.098
0101,2017,2,32,39166,0.817
0101,2017,3,35,39166,0.894
0101,2017,4,36,39166,0.919
0101,2017,5,26,39166,0.664
0101,2017,6,26,39166,0.664
0101,2017,7,27,39166,0.689
0101,2017,8,33,39166,0.843
0101,2017,9,31,39166,0.792
0101,2017,10,24,39166,0.613
0101,2017,11,21,39166,0.536
0101,2017,12,37,39166,0.945
0101,2017,13,23,39166,0.587
0101,2017,14,21,39166,0.536
0101,2017,15,34,39166,0.868
0101,2017,16,25,39166,0.638
0101,2017,17,24,39166,0.613
0101,2017,18,33,39166,0.843
0101,2017,19,48,39166,1.226
0101,2017,20,45,39166,1.149
0101,2017,21,49,39166,1.251
0101,2017,22,37,39166,0.945
0101,2017,23,53,39166,1.353
0101,2017,24,84,39166,2.145
0101,2017,25,102,39166,2.604
0101,2017,26,136,39166,3.472
0101,2017,27,106,39166,2.706
0101,2017,28,112,39166,2.86
0101,2017,29,107,39166,2.732
0101,2017,30,74,39166,1.889
0101,2017,31,51,39166,1.302
0101,2017,32,43,39166,1.098
0101,2017,33,40,39166,1.021
0101,2017,34,33,39166,0.843
0101,2017,35,26,39166,0.664
0101,2017,36,26,39166,0.664
0101,2017,37,32,39166,0.817
0101,2017,38,30,39166,0.766
0101,2017,39,18,39166,0.46
0101,2017,40,23,39166,0.587
0101,2017,41,17,39166,0.434
0101,2017,42,22,39166,0.562
0101,2017,43,19,39166,0.485
0101,2017,44,32,39166,0.817
0101,2017,45,20,39166,0.511
0101,2017,46,19,39166,0.485
0101,2017,47,27,39166,0.689
0101,2017,48,18,39166,0.46
0101,2017,49,27,39166,0.689
0101,2017,50,35,39166,0.894
0101,2017,51,59,39166,1.506
0101,2017,52,69,39166,1.762
0101,2017,53,7,39166,0.179
0101,2018,1,48,40842,1.175
0101,2018,2,75,40842,1.836
0101,2018,3,82,40842,2.008
0101,2018,4,100,40842,2.448
0101,2018,5,100,40842,2.448
0101,2018,6,97,40842,2.375
0101,2018,7,81,40842,1.983
0101,2018,8,107,40842,2.62
0101,2018,9,92,40842,2.253
0101,2018,10,65,40842,1.591
0101,2018,11,70,40842,1.714
0101,2018,12,51,40842,1.249
0101,2018,13,39,40842,0.955
0101,2018,14,29,40842,0.71
0101,2018,15,28,40842,0.686
0101,2018,16,28,40842,0.686
0101,2018,17,19,40842,0.465
0101,2018,18,22,40842,0.539
0101,2018,19,24,40842,0.588
0101,2018,20,14,40842,0.343
0101,2018,21,15,40842,0.367
0101,2018,22,16,40842,0.392
0101,2018,23,9,40842,0.22
0101,2018,24,13,40842,0.318
0101,2018,25,16,40842,0.392
0101,2018,26,23,40842,0.563
0101,2018,27,18,40842,0.441
0101,2018,28,19,40842,0.465
0101,2018,29,18,40842,0.441
0101,2018,30,17,40842,0.416
0101,2018,31,36,40842,0.881
0101,2018,32,16,40842,0.392
0101,2018,33,15,40842,0.367
0101,2018,34,18,40842,0.441
0101,2018,35,17,40842,0.416
0101,2018,36,21,40842,0.514
0101,2018,37,17,40842,0.416
0101,2018,38,20,40842,0.49
0101,2018,39,25,40842,0.612
0101,2018,40,21,40842,0.514
0101,2018,41,16,40842,0.392
0101,2018,42,20,40842,0.49
0101,2018,43,26,40842,0.637
0101,2018,44,25,40842,0.612
0101,2018,45,18,40842,0.441
0101,2018,46,31,40842,0.759
0101,2018,47,32,40842,0.784
0101,2018,48,29,40842,0.71
0101,2018,49,35,40842,0.857
0101,2018,50,34,40842,0.832
0101,2018,51,40,40842,0.979
0101,2018,52,41,40842,1.004
0101,2018,53,11,40842,0.269
0101,2019,1,44,41018,1.073
0101,2019,2,70,41018,1.707
0101,2019,3,84,41018,2.048
0101,2019,4,90,41018,2.194
0101,2019,5,93,41018,2.267
0101,2019,6,69,41018,1.682
0101,2019,7,72,41018,1.755
0101,2019,8,68,41018,1.658
0101,2019,9,53,41018,1.292
0101,2019,10,60,41018,1.463
0101,2019,11,60,41018,1.463
0101,2019,12,47,41018,1.146
0101,2019,13,49,41018,1.195
0101,2019,14,47,41018,1.146
0101,2019,15,33,41018,0.805
0101,2019,16,25,41018,0.609
0101,2019,17,35,41018,0.853
0101,2019,18,36,41018,0.878
0101,2019,19,28,41018,0.683
0101,2019,20,34,41018,0.829
0101,2019,21,38,41018,0.926
0101,2019,22,28,41018,0.683
0101,2019,23,34,41018,0.829
0101,2019,24,37,41018,0.902
0101,2019,25,35,41018,0.853
0101,2019,26,42,41018,1.024
0101,2019,27,51,41018,1.243
0101,2019,28,37,41018,0.902
0101,2019,29,43,41018,1.048
0101,2019,30,37,41018,0.902
0101,2019,31,35,41018,0.853
0101,2019,32,33,41018,0.805
0101,2019,33,45,41018,1.097
0101,2019,34,35,41018,0.853
0101,2019,35,39,41018,0.951
0101,2019,36,34,41018,0.829
0101,2019,37,32,41018,0.78
0101,2019,38,48,41018,1.17
0101,2019,39,50,41018,1.219
0101,2019,40,31,41018,0.756
0101,2019,41,34,41018,0.829
0101,2019,42,37,41018,0.902
0101,2019,43,36,41018,0.878
0101,2019,44,41,41018,1.0
0101,2019,45,39,41018,0.951
0101,2019,46,38,41018,0.926
0101,2019,47,41,41018,1.0
0101,2019,48,43,41018,1.048
0101,2019,49,38,41018,0.926
0101,2019,50,56,41018,1.365
0101,2019,51,63,41018,1.536
0101,2019,52,81,41018,1.975
0101,2019,53,34,41018,0.829
0102,2016,1,12,43914,0.273
0102,2016,2,43,43914,0.979
0102,2016,3,47,43914,1.07
0102,2016,4,52,43914,1.184
0102,2016,5,61,43914,1.389
0102,2016,6,124,43914,2.824
0102,2016,7,96,43914,2.186
0102,2016,8,144,43914,3.279
0102,2016,9,150,43914,3.416
0102,2016,10,130,43914,2.96
0102,2016,11,148,43914,3.37
0102,2016,12,115,43914,2.619
0102,2016,13,82,43914,1.867
0102,2016,14,83,43914,1.89
0102,2016,15,78,43914,1.776
0102,2016,16,49,43914,1.116
0102,2016,17,38,43914,0.865
0102,2016,18,43,43914,0.979
0102,2016,19,31,43914,0.706
0102,2016,20,35,43914,0.797
0102,2016,21,27,43914,0.615
0102,2016,22,17,43914,0.387
0102,2016,23,25,43914,0.569
0102,2016,24,18,43914,0.41
0102,2016,25,19,43914,0.433
0102,2016,26,17,43914,0.387
0102,2016,27,12,43914,0.273
0102,2016,28,14,43914,0.319
0102,2016,29,14,43914,0.319
0102,2016,30,16,43914,0.364
0102,2016,31,10,43914,0.228
0102,2016,32,15,43914,0.342
0102,2016,33,16,43914,0.364
0102,2016,34,17,43914,0.387
0102,2016,35,18,43914,0.41
0102,2016,36,22,43914,0.501
0102,2016,37,14,43914,0.319
0102,2016,38,14,43914,0.319
0102,2016,39,19,43914,0.433
0102,2016,40,18,43914,0.41
0102,2016,41,26,43914,0.592
0102,2016,42,27,43914,0.615
0102,2016,43,31,43914,0.706
0102,2016,44,27,43914,0.615
0102,2016,45,47,43914,1.07
0102,2016,46,44,43914,1.002
0102,2016,47,40,43914,0.911
0102,2016,48,43,43914,0.979
0102,2016,49,50,43914,1.139
0102,2016,50,48,43914,1.093
0102,2016,51,47,43914,1.07
0102,2016,52,44,43914,1.002
0102,2016,53,44,43914,1.002
0102,2018,1,96,48582,1.976
0102,2018,2,70,48582,1.441
0102,2018,3,101,48582,2.079
0102,2018,4,102,48582,2.1
0102,2018,5,107,48582,2.202
0102,2018,6,101,48582,2.079
0102,2018,7,112,48582,2.305
0102,2018,8,103,48582,2.12
0102,2018,9,106,48582,2.182
0102,2018,10,68,48582,1.4
0102,2018,11,56,48582,1.153
0102,2018,12,61,48582,1.256
0102,2018,13,48,48582,0.988
0102,2018,14,33,48582,0.679
0102,2018,15,33,48582,0.679
0102,2018,16,24,48582,0.494
0102,2018,17,28,48582,0.576
0102,2018,18,19,48582,0.391
0102,2018,19,24,48582,0.494
0102,2018,20,23,48582,0.473
0102,2018,21,23,48582,0.473
0102,2018,22,19,48582,0.391
0102,2018,23,19,48582,0.391
0102,2018,24,29,48582,0.597
0102,2018,25,18,48582,0.371
0102,2018,26,22,48582,0.453
0102,2018,27,22,48582,0.453
0102,2018,28,29,48582,0.597
0102,2018,29,18,48582,0.371
0102,2018,30,15,48582,0.309
0102,2018,31,24,48582,0.494
0102,2018,32,21,48582,0.432
0102,2018,33,17,48582,0.35
0102,2018,34,32,48582,0.659
0102,2018,35,23,48582,0.473
0102,2018,36,16,48582,0.329
0102,2018,37,34,48582,0.7
0102,2018,38,32,48582,0.659
0102,2018,39,17,48582,0.35
0102,2018,40,34,48582,0.7
0102,2018,41,22,48582,0.453
0102,2018,42,23,48582,0.473
0102,2018,43,23,48582,0.473
0102,2018,44,36,48582,0.741
0102,2018,45,19,48582,0.391
0102,2018,46,33,48582,0.679
