ID,town,year,week,SO2
0101,臺北市松山區,2015,1,3.0
0101,臺北市松山區,2015,2,3.0
0101,臺北市松山區,2015,3,3.0
0101,臺北市松山區,2015,4,4.0
0101,臺北市松山區,2015,5,2.0
0101,臺北市松山區,2015,6,3.0
0101,臺北市松山區,2015,7,3.0
0101,臺北市松山區,2015,8,3.0
0101,臺北市松山區,2015,9,3.0
0101,臺北市松山區,2015,10,2.0
0101,臺北市松山區,2015,11,5.0
0101,臺北市松山區,2015,12,4.0
0101,臺北市松山區,2015,13,4.0
0101,臺北市松山區,2015,14,4.0
0101,臺北市松山區,2015,15,3.0
0101,臺北市松山區,2015,16,3.0
0101,臺北市松山區,2015,17,3.0
0101,臺北市松山區,2015,18,4.0
0101,臺北市松山區,2015,19,4.0
0101,臺北市松山區,2015,20,4.0
0101,臺北市松山區,2015,21,3.0
0101,臺北市松山區,2015,22,3.0
0101,臺北市松山區,2015,23,4.0
0101,臺北市松山區,2015,24,4.0
0101,臺北市松山區,2015,25,4.0
0101,臺北市松山區,2015,26,3.0
0101,臺北市松山區,2015,27,2.0
0101,臺北市松山區,2015,28,3.0
0101,臺北市松山區,2015,29,5.0
0101,臺北市松山區,2015,30,3.0
0101,臺北市松山區,2015,31,5.0
0101,臺北市松山區,2015,32,3.0
0101,臺北市松山區,2015,33,3.0
0101,臺北市松山區,2015,34,3.0
0101,臺北市松山區,2015,35,3.0
0101,臺北市松山區,2015,36,3.0
0101,臺北市松山區,2015,37,2.0
0101,臺北市松山區,2015,38,4.0
0101,臺北市松山區,2015,39,3.0
0101,臺北市松山區,2015,40,3.0
0101,臺北市松山區,2015,41,3.0
0101,臺北市松山區,2015,42,3.0
0101,臺北市松山區,2015,43,3.0
0101,臺北市松山區,2015,44,3.0
0101,臺北市松山區,2015,45,4.0
0101,臺北市松山區,2015,46,4.0
0101,臺北市松山區,2015,47,3.0
0101,臺北市松山區,2015,48,3.0
0101,臺北市松山區,2015,49,3.0
0101,臺北市松山區,2015,50,3.0
0101,臺北市松山區,2015,51,4.0
0101,臺北市松山區,2015,52,3.0
0101,臺北市松山區,2016,1,3.0
0101,臺北市松山區,2016,2,3.0
0101,臺北市松山區,2016,3,2.0
0101,臺北市松山區,2016,4,3.0
0101,臺北市松山區,2016,5,2.0
0101,臺北市松山區,2016,6,3.0
0101,臺北市松山區,2016,7,2.0
0101,臺北市松山區,2016,8,2.0
0101,臺北市松山區,2016,9,2.0
0101,臺北市松山區,2016,10,3.0
0101,臺北市松山區,2016,11,2.0
0101,臺北市松山區,2016,12,2.0
0101,臺北市松山區,2016,13,3.0
0101,臺北市松山區,2016,14,4.0
0101,臺北市松山區,2016,15,4.0
0101,臺北市松山區,2016,16,3.0
0101,臺北市松山區,2016,17,4.0
0101,臺北市松山區,2016,18,4.0
0101,臺北市松山區,2016,19,4.0
0101,臺北市松山區,2016,20,2.0
0101,臺北市松山區,2016,21,5.0
0101,臺北市松山區,2016,22,3.0
0101,臺北市松山區,2016,23,3.0
0101,臺北市松山區,2016,24,3.0
0101,臺北市松山區,2016,25,4.0
0101,臺北市松山區,2016,26,3.0
0101,臺北市松山區,2016,27,2.0
0101,臺北市松山區,2016,28,2.0
0101,臺北市松山區,2016,29,2.0
0101,臺北市松山區,2016,30,4.0
0101,臺北市松山區,2016,31,3.0
0101,臺北市松山區,2016,32,3.0
