ID,town,year,week,NO2
0101,臺北市松山區,2015,1,27.0
0101,臺北市松山區,2015,2,21.0
0101,臺北市松山區,2015,3,23.0
0101,臺北市松山區,2015,4,32.0
0101,臺北市松山區,2015,5,20.0
0101,臺北市松山區,2015,6,26.0
0101,臺北市松山區,2015,7,28.0
0101,臺北市松山區,2015,8,23.0
0101,臺北市松山區,2015,9,22.0
0101,臺北市松山區,2015,10,22.0
0101,臺北市松山區,2015,11,33.0
0101,臺北市松山區,2015,12,22.0
0101,臺北市松山區,2015,13,30.0
0101,臺北市松山區,2015,14,21.0
0101,臺北市松山區,2015,15,30.0
0101,臺北市松山區,2015,16,28.0
0101,臺北市松山區,2015,17,22.0
0101,臺北市松山區,2015,18,28.0
0101,臺北市松山區,2015,19,27.0
0101,臺北市松山區,2015,20,24.0
0101,臺北市松山區,2015,21,26.0
0101,臺北市松山區,2015,22,22.0
0101,臺北市松山區,2015,23,22.0
0101,臺北市松山區,2015,24,24.0
0101,臺北市松山區,2015,25,21.0
0101,臺北市松山區,2015,26,20.0
0101,臺北市松山區,2015,27,15.0
0101,臺北市松山區,2015,28,17.0
0101,臺北市松山區,2015,29,20.0
0101,臺北市松山區,2015,30,22.0
0101,臺北市松山區,2015,31,22.0
0101,臺北市松山區,2015,32,16.0
0101,臺北市松山區,2015,33,20.0
0101,臺北市松山區,2015,34,15.0
0101,臺北市松山區,2015,35,25.0
0101,臺北市松山區,2015,36,21.0
0101,臺北市松山區,2015,37,17.0
0101,臺北市松山區,2015,38,21.0
0101,臺北市松山區,2015,39,20.0
0101,臺北市松山區,2015,40,16.0
0101,臺北市松山區,2015,41,22.0
0101,臺北市松山區,2015,42,17.0
0101,臺北市松山區,2015,43,20.0
0101,臺北市松山區,2015,44,20.0
0101,臺北市松山區,2015,45,22.0
0101,臺北市松山區,2015,46,25.0
0101,臺北市松山區,2015,47,18.0
0101,臺北市松山區,2015,48,20.0
0101,臺北市松山區,2015,49,19.0
0101,臺北市松山區,2015,50,21.0
0101,臺北市松山區,2015,51,24.0
0101,臺北市松山區,2015,52,23.0
0101,臺北市松山區,2016,1,28.0
0101,臺北市松山區,2016,2,24.0
0101,臺北市松山區,2016,3,26.0
0101,臺北市松山區,2016,4,23.0
0101,臺北市松山區,2016,5,24.0
0101,臺北市松山區,2016,6,24.0
0101,臺北市松山區,2016,7,23.0
0101,臺北市松山區,2016,8,24.0
0101,臺北市松山區,2016,9,25.0
0101,臺北市松山區,2016,10,28.0
0101,臺北市松山區,2016,11,30.0
0101,臺北市松山區,2016,12,29.0
0101,臺北市松山區,2016,13,34.0
0101,臺北市松山區,2016,14,30.0
0101,臺北市松山區,2016,15,27.0
0101,臺北市松山區,2016,16,29.0
0101,臺北市松山區,2016,17,24.0
0101,臺北市松山區,2016,18,27.0
0101,臺北市松山區,2016,19,23.0
0101,臺北市松山區,2016,20,19.0
0101,臺北市松山區,2016,21,22.0
0101,臺北市松山區,2016,22,21.0
0101,臺北市松山區,2016,23,21.0
0101,臺北市松山區,2016,24,20.0
0101,臺北市松山區,2016,25,22.0
0101,臺北市松山區,2016,26,22.0
0101,臺北市松山區,2016,27,16.0
