ID,town,year,week,NO
0101,臺北市松山區,2015,1,26.0
0101,臺北市松山區,2015,2,10.0
0101,臺北市松山區,2015,3,11.0
0101,臺北市松山區,2015,4,18.0
0101,臺北市松山區,2015,5,12.0
0101,臺北市松山區,2015,6,17.0
0101,臺北市松山區,2015,7,13.0
0101,臺北市松山區,2015,8,13.0
0101,臺北市松山區,2015,9,15.0
0101,臺北市松山區,2015,10,11.0
0101,臺北市松山區,2015,11,19.0
0101,臺北市松山區,2015,12,9.0
0101,臺北市松山區,2015,13,18.0
0101,臺北市松山區,2015,14,10.0
0101,臺北市松山區,2015,15,12.0
0101,臺北市松山區,2015,16,14.0
0101,臺北市松山區,2015,17,9.0
0101,臺北市松山區,2015,18,12.0
0101,臺北市松山區,2015,19,15.0
0101,臺北市松山區,2015,20,13.0
0101,臺北市松山區,2015,21,17.0
0101,臺北市松山區,2015,22,13.0
0101,臺北市松山區,2015,23,11.0
0101,臺北市松山區,2015,24,11.0
0101,臺北市松山區,2015,25,11.0
0101,臺北市松山區,2015,26,13.0
0101,臺北市松山區,2015,27,8.0
0101,臺北市松山區,2015,28,9.0
0101,臺北市松山區,2015,29,10.0
0101,臺北市松山區,2015,30,13.0
0101,臺北市松山區,2015,31,11.0
0101,臺北市松山區,2015,32,10.0
0101,臺北市松山區,2015,33,16.0
0101,臺北市松山區,2015,34,10.0
0101,臺北市松山區,2015,35,16.0
0101,臺北市松山區,2015,36,11.0
0101,臺北市松山區,2015,37,7.0
0101,臺北市松山區,2015,38,8.0
0101,臺北市松山區,2015,39,9.0
0101,臺北市松山區,2015,40,10.0
0101,臺北市松山區,2015,41,7.0
0101,臺北市松山區,2015,42,6.0
0101,臺北市松山區,2015,43,9.0
0101,臺北市松山區,2015,44,9.0
0101,臺北市松山區,2015,45,11.0
0101,臺北市松山區,2015,46,12.0
0101,臺北市松山區,2015,47,8.0
0101,臺北市松山區,2015,48,11.0
0101,臺北市松山區,2015,49,10.0
0101,臺北市松山區,2015,50,11.0
0101,臺北市松山區,2015,51,17.0
0101,臺北市松山區,2015,52,11.0
0101,臺北市松山區,2016,1,25.0
0101,臺北市松山區,2016,2,13.0
0101,臺北市松山區,2016,3,15.0
0101,臺北市松山區,2016,4,24.0
0101,臺北市松山區,2016,5,17.0
0101,臺北市松山區,2016,6,12.0
0101,臺北市松山區,2016,7,15.0
0101,臺北市松山區,2016,8,12.0
0101,臺北市松山區,2016,9,12.0
0101,臺北市松山區,2016,10,19.0
0101,臺北市松山區,2016,11,25.0
0101,臺北市松山區,2016,12,32.0
0101,臺北市松山區,2016,13,15.0
0101,臺北市松山區,2016,14,14.0
0101,臺北市松山區,2016,15,12.0
0101,臺北市松山區,2016,16,18.0
0101,臺北市松山區,2016,17,11.0
0101,臺北市松山區,2016,18,10.0
0101,臺北市松山區,2016,19,11.0
0101,臺北市松山區,2016,20,8.0
0101,臺北市松山區,2016,21,10.0
