region,year,week,case_c,pop_total,case_per_capita(‰),PM25_lag0,PM25_lag1,PM25_lag2,PM25_lag3,PM25_lag4,PM25_lag5,PM25_lag6,PM25_lag7,PM25_lag8,PM25_lag9,PM25_lag10
北北基桃竹,2016,1,398,660334,0.6,25.45,47.18,66.7,91.24,104.88,118.68,129.35,150.81,177.42,196.24,219.8
北北基桃竹,2016,2,868,663582,1.31,20.88,46.33,68.06,87.58,112.12,125.76,139.56,150.23,171.69,198.3,217.12
北北基桃竹,2016,3,877,669978,1.31,22.89,43.77,69.22,90.95,110.47,135.01,148.65,162.45,173.12,194.58,221.19
北北基桃竹,2016,4,818,665681,1.23,16.98,39.87,60.75,86.2,107.93,127.45,151.99,165.63,179.43,190.1,211.56
北北基桃竹,2016,5,917,662228,1.38,9.76,26.74,49.63,70.51,95.96,117.69,137.21,161.75,175.39,189.19,199.86
北北基桃竹,2016,6,1233,668864,1.84,31.61,41.37,58.35,81.24,102.12,127.57,149.3,168.82,193.36,207.0,220.8
北北基桃竹,2016,7,490,663637,0.74,17.49,49.1,58.86,75.84,98.73,119.61,145.06,166.79,186.31,210.85,224.49
北北基桃竹,2016,8,1180,672192,1.76,21.27,38.76,70.37,80.13,97.11,120.0,140.88,166.33,188.06,207.58,232.12
北北基桃竹,2016,9,1025,670875,1.53,19.79,41.06,58.55,90.16,99.92,116.9,139.79,160.67,186.12,207.85,227.37
北北基桃竹,2016,10,1055,670844,1.57,25.37,45.16,66.43,83.92,115.53,125.29,142.27,165.16,186.04,211.49,233.22
北北基桃竹,2016,11,1007,670090,1.5,19.17,44.54,64.33,85.6,103.09,134.7,144.46,161.44,184.33,205.21,230.66
北北基桃竹,2016,12,1026,667236,1.54,24.2,43.37,68.74,88.53,109.8,127.29,158.9,168.66,185.64,208.53,229.41
北北基桃竹,2016,13,958,667761,1.43,33.19,57.39,76.56,101.93,121.72,142.99,160.48,192.09,201.85,218.83,241.72
北北基桃竹,2016,14,1025,664513,1.54,38.8,71.99,96.19,115.36,140.73,160.52,181.79,199.28,230.89,240.65,257.63
北北基桃竹,2016,15,759,668812,1.13,22.83,61.63,94.82,119.02,138.19,163.56,183.35,204.62,222.11,253.72,263.48
北北基桃竹,2016,16,968,667163,1.45,21.63,44.46,83.26,116.45,140.65,159.82,185.19,204.98,226.25,243.74,275.35
北北基桃竹,2016,17,944,664354,1.42,25.96,47.59,70.42,109.22,142.41,166.61,185.78,211.15,230.94,252.21,269.7
北北基桃竹,2016,18,900,668567,1.35,34.15,60.11,81.74,104.57,143.37,176.56,200.76,219.93,245.3,265.09,286.36
北北基桃竹,2016,19,845,670962,1.26,19.41,53.56,79.52,101.15,123.98,162.78,195.97,220.17,239.34,264.71,284.5
北北基桃竹,2016,20,893,670994,1.33,15.89,35.3,69.45,95.41,117.04,139.87,178.67,211.86,236.06,255.23,280.6
北北基桃竹,2016,21,835,667327,1.25,21.18,37.07,56.48,90.63,116.59,138.22,161.05,199.85,233.04,257.24,276.41
北北基桃竹,2016,22,884,665612,1.33,13.86,35.04,50.93,70.34,104.49,130.45,152.08,174.91,213.71,246.9,271.1
北北基桃竹,2016,23,786,666161,1.18,14.18,28.04,49.22,65.11,84.52,118.67,144.63,166.26,189.09,227.89,261.08
北北基桃竹,2016,24,666,663637,1.0,8.39,22.57,36.43,57.61,73.5,92.91,127.06,153.02,174.65,197.48,236.28
北北基桃竹,2016,25,755,666494,1.13,11.94,20.33,34.51,48.37,69.55,85.44,104.85,139.0,164.96,186.59,209.42
北北基桃竹,2016,26,797,660334,1.21,13.14,25.08,33.47,47.65,61.51,82.69,98.58,117.99,152.14,178.1,199.73
北北基桃竹,2016,27,664,667529,0.99,10.17,23.31,35.25,43.64,57.82,71.68,92.86,108.75,128.16,162.31,188.27
北北基桃竹,2016,28,638,660334,0.97,9.59,19.76,32.9,44.84,53.23,67.41,81.27,102.45,118.34,137.75,171.9
北北基桃竹,2016,29,720,663293,1.09,13.5,23.09,33.26,46.4,58.34,66.73,80.91,94.77,115.95,131.84,151.25
北北基桃竹,2016,30,724,660334,1.1,20.01,33.51,43.1,53.27,66.41,78.35,86.74,100.92,114.78,135.96,151.85
北北基桃竹,2016,31,645,662935,0.97,14.24,34.25,47.75,57.34,67.51,80.65,92.59,100.98,115.16,129.02,150.2
北北基桃竹,2016,32,683,660964,1.03,11.33,25.57,45.58,59.08,68.67,78.84,91.98,103.92,112.31,126.49,140.35
北北基桃竹,2016,33,656,662119,0.99,10.43,21.76,36.0,56.01,69.51,79.1,89.27,102.41,114.35,122.74,136.92
北北基桃竹,2016,34,711,660334,1.08,16.24,26.67,38.0,52.24,72.25,85.75,95.34,105.51,118.65,130.59,138.98
北北基桃竹,2016,35,688,661167,1.04,23.43,39.67,50.1,61.43,75.67,95.68,109.18,118.77,128.94,142.08,154.02
北北基桃竹,2016,36,682,661958,1.03,13.31,36.74,52.98,63.41,74.74,88.98,108.99,122.49,132.08,142.25,155.39
北北基桃竹,2016,37,722,667029,1.08,10.28,23.59,47.02,63.26,73.69,85.02,99.26,119.27,132.77,142.36,152.53
北北基桃竹,2016,38,628,665439,0.94,12.5,22.78,36.09,59.52,75.76,86.19,97.52,111.76,131.77,145.27,154.86
北北基桃竹,2016,39,770,664267,1.16,13.67,26.17,36.45,49.76,73.19,89.43,99.86,111.19,125.43,145.44,158.94
北北基桃竹,2016,40,584,660964,0.88,13.18,26.85,39.35,49.63,62.94,86.37,102.61,113.04,124.37,138.61,158.62
北北基桃竹,2016,41,768,660657,1.16,8.55,21.73,35.4,47.9,58.18,71.49,94.92,111.16,121.59,132.92,147.16
北北基桃竹,2016,42,661,660334,1.0,12.17,20.72,33.9,47.57,60.07,70.35,83.66,107.09,123.33,133.76,145.09
北北基桃竹,2016,43,741,670875,1.1,22.09,34.26,42.81,55.99,69.66,82.16,92.44,105.75,129.18,145.42,155.85
北北基桃竹,2016,44,706,665281,1.06,14.35,36.44,48.61,57.16,70.34,84.01,96.51,106.79,120.1,143.53,159.77
北北基桃竹,2016,45,798,662663,1.2,16.87,31.22,53.31,65.48,74.03,87.21,100.88,113.38,123.66,136.97,160.4
北北基桃竹,2016,46,774,666000,1.16,22.62,39.49,53.84,75.93,88.1,96.65,109.83,123.5,136.0,146.28,159.59
北北基桃竹,2016,47,822,665559,1.24,13.25,35.87,52.74,67.09,89.18,101.35,109.9,123.08,136.75,149.25,159.53
北北基桃竹,2016,48,812,663860,1.22,14.02,27.27,49.89,66.76,81.11,103.2,115.37,123.92,137.1,150.77,163.27
北北基桃竹,2016,49,795,662663,1.2,17.46,31.48,44.73,67.35,84.22,98.57,120.66,132.83,141.38,154.56,168.23
