region,year,week,case_c,pop_total,case_per_capita(‰),PM25_lag0,PM25_lag1,PM25_lag2,PM25_lag3,PM25_lag4,PM25_lag5,PM25_lag6,PM25_lag7,PM25_lag8,PM25_lag9,PM25_lag10
北北基桃竹,2016,1,498,722825,0.69,24.44,45.81,64.37,88.54,101.7,114.83,124.9,145.58,171.13,189.27,212.5
北北基桃竹,2016,2,1421,726579,1.96,20.39,44.83,66.2,84.76,108.93,122.09,135.22,145.29,165.97,191.52,209.66
北北基桃竹,2016,3,1462,728793,2.01,22.23,42.62,67.06,88.43,106.99,131.16,144.32,157.45,167.52,188.2,213.75
北北基桃竹,2016,4,1321,725110,1.82,16.37,38.6,58.99,83.43,104.8,123.36,147.53,160.69,173.82,183.89,204.57
北北基桃竹,2016,5,1509,728556,2.07,9.15,25.52,47.75,68.14,92.58,113.95,132.51,156.68,169.84,182.97,193.04
北北基桃竹,2016,6,2014,732531,2.75,30.73,39.88,56.25,78.48,98.87,123.31,144.68,163.24,187.41,200.57,213.7
北北基桃竹,2016,7,780,726971,1.07,17.0,47.73,56.88,73.25,95.48,115.87,140.31,161.68,180.24,204.41,217.57
北北基桃竹,2016,8,1853,729653,2.54,20.56,37.56,68.29,77.44,93.81,116.04,136.43,160.87,182.24,200.8,224.97
北北基桃竹,2016,9,1698,734147,2.31,18.85,39.41,56.41,87.14,96.29,112.66,134.89,155.28,179.72,201.09,219.65
北北基桃竹,2016,10,1609,729850,2.2,24.21,43.06,63.62,80.62,111.35,120.5,136.87,159.1,179.49,203.93,225.3
北北基桃竹,2016,11,1601,732890,2.18,18.53,42.74,61.59,82.15,99.15,129.88,139.03,155.4,177.63,198.02,222.46
北北基桃竹,2016,12,1501,723455,2.07,23.54,42.07,66.28,85.13,105.69,122.69,153.42,162.57,178.94,201.17,221.56
北北基桃竹,2016,13,1457,725240,2.01,32.54,56.08,74.61,98.82,117.67,138.23,155.23,185.96,195.11,211.48,233.71
北北基桃竹,2016,14,1555,729638,2.13,38.38,70.92,94.46,112.99,137.2,156.05,176.61,193.61,224.34,233.49,249.86
北北基桃竹,2016,15,1233,730852,1.69,22.04,60.42,92.96,116.5,135.03,159.24,178.09,198.65,215.65,246.38,255.53
北北基桃竹,2016,16,1447,728203,1.99,21.14,43.18,81.56,114.1,137.64,156.17,180.38,199.23,219.79,236.79,267.52
北北基桃竹,2016,17,1417,726215,1.95,25.62,46.76,68.8,107.18,139.72,163.26,181.79,206.0,224.85,245.41,262.41
北北基桃竹,2016,18,1345,728350,1.85,33.94,59.56,80.7,102.74,141.12,173.66,197.2,215.73,239.94,258.79,279.35
北北基桃竹,2016,19,1261,727787,1.73,19.32,53.26,78.88,100.02,122.06,160.44,192.98,216.52,235.05,259.26,278.11
北北基桃竹,2016,20,1267,725244,1.75,15.37,34.69,68.63,94.25,115.39,137.43,175.81,208.35,231.89,250.42,274.63
北北基桃竹,2016,21,1239,725671,1.71,20.51,35.88,55.2,89.14,114.76,135.9,157.94,196.32,228.86,252.4,270.93
北北基桃竹,2016,22,1323,726632,1.82,13.91,34.42,49.79,69.11,103.05,128.67,149.81,171.85,210.23,242.77,266.31
北北基桃竹,2016,23,1136,728789,1.56,14.18,28.09,48.6,63.97,83.29,117.23,142.85,163.99,186.03,224.41,256.95
北北基桃竹,2016,24,972,727033,1.34,8.5,22.68,36.59,57.1,72.47,91.79,125.73,151.35,172.49,194.53,232.91
北北基桃竹,2016,25,1145,726168,1.58,12.24,20.74,34.92,48.83,69.34,84.71,104.03,137.97,163.59,184.73,206.77
北北基桃竹,2016,26,1179,727059,1.62,13.51,25.75,34.25,48.43,62.34,82.85,98.22,117.54,151.48,177.1,198.24
北北基桃竹,2016,27,1050,726795,1.44,9.96,23.47,35.71,44.21,58.39,72.3,92.81,108.18,127.5,161.44,187.06
北北基桃竹,2016,28,965,723455,1.33,9.77,19.73,33.24,45.48,53.98,68.16,82.07,102.58,117.95,137.27,171.21
北北基桃竹,2016,29,1124,724735,1.55,13.79,23.56,33.52,47.03,59.27,67.77,81.95,95.86,116.37,131.74,151.06
北北基桃竹,2016,30,1101,727460,1.51,20.16,33.95,43.72,53.68,67.19,79.43,87.93,102.11,116.02,136.53,151.9
北北基桃竹,2016,31,927,725563,1.28,13.98,34.14,47.93,57.7,67.66,81.17,93.41,101.91,116.09,130.0,150.51
北北基桃竹,2016,32,1009,724449,1.39,11.04,25.02,45.18,58.97,68.74,78.7,92.21,104.45,112.95,127.13,141.04
北北基桃竹,2016,33,1029,728462,1.41,9.93,20.97,34.95,55.11,68.9,78.67,88.63,102.14,114.38,122.88,137.06
北北基桃竹,2016,34,1050,729523,1.44,16.13,26.06,37.1,51.08,71.24,85.03,94.8,104.76,118.27,130.51,139.01
北北基桃竹,2016,35,997,730413,1.36,23.17,39.3,49.23,60.27,74.25,94.41,108.2,117.97,127.93,141.44,153.68
北北基桃竹,2016,36,1066,727570,1.47,13.24,36.41,52.54,62.47,73.51,87.49,107.65,121.44,131.21,141.17,154.68
北北基桃竹,2016,37,1039,725518,1.43,9.94,23.18,46.35,62.48,72.41,83.45,97.43,117.59,131.38,141.15,151.11
北北基桃竹,2016,38,847,724614,1.17,12.07,22.01,35.25,58.42,74.55,84.48,95.52,109.5,129.66,143.45,153.22
北北基桃竹,2016,39,1170,728459,1.61,13.49,25.56,35.5,48.74,71.91,88.04,97.97,109.01,122.99,143.15,156.94
北北基桃竹,2016,40,841,723886,1.16,12.58,26.07,38.14,48.08,61.32,84.49,100.62,110.55,121.59,135.57,155.73
北北基桃竹,2016,41,1181,728329,1.62,8.1,20.68,34.17,46.24,56.18,69.42,92.59,108.72,118.65,129.69,143.67
北北基桃竹,2016,42,1109,722825,1.53,11.05,19.15,31.73,45.22,57.29,67.23,80.47,103.64,119.77,129.7,140.74
北北基桃竹,2016,43,1152,728980,1.58,21.68,32.73,40.83,53.41,66.9,78.97,88.91,102.15,125.32,141.45,151.38
北北基桃竹,2016,44,1160,728630,1.59,13.67,35.35,46.4,54.5,67.08,80.57,92.64,102.58,115.82,138.99,155.12
北北基桃竹,2016,45,1257,731873,1.72,15.89,29.56,51.24,62.29,70.39,82.97,96.46,108.53,118.47,131.71,154.88
北北基桃竹,2016,46,1304,727601,1.79,21.34,37.23,50.9,72.58,83.63,91.73,104.31,117.8,129.87,139.81,153.05
北北基桃竹,2016,47,1284,726951,1.77,12.23,33.57,49.46,63.13,84.81,95.86,103.96,116.54,130.03,142.1,152.04
北北基桃竹,2016,48,1338,729644,1.83,13.71,25.94,47.28,63.17,76.84,98.52,109.57,117.67,130.25,143.74,155.81
北北基桃竹,2016,49,1398,729061,1.92,16.74,30.45,42.68,64.02,79.91,93.58,115.26,126.31,134.41,146.99,160.48
北北基桃竹,2016,50,1335,727115,1.84,16.75,33.49,47.2,59.43,80.77,96.66,110.33,132.01,143.06,151.16,163.74
北北基桃竹,2016,51,1451,730210,1.99,17.88,34.63,51.37,65.08,77.31,98.65,114.54,128.21,149.89,160.94,169.04
北北基桃竹,2016,52,1340,725439,1.85,17.66,35.54,52.29,69.03,82.74,94.97,116.31,132.2,145.87,167.55,178.6
北北基桃竹,2017,1,1441,732969,1.97,21.99,39.65,57.53,74.28,91.02,104.73,116.96,138.3,154.19,167.86,189.54
北北基桃竹,2017,2,1432,730289,1.96,20.52,42.51,60.17,78.05,94.8,111.54,125.25,137.48,158.82,174.71,188.38
北北基桃竹,2017,3,1500,730280,2.05,12.66,33.18,55.17,72.83,90.71,107.46,124.2,137.91,150.14,171.48,187.37
北北基桃竹,2017,4,1483,731584,2.03,16.1,28.76,49.28,71.27,88.93,106.81,123.56,140.3,154.01,166.24,187.58
北北基桃竹,2017,5,952,725550,1.31,17.39,33.49,46.15,66.67,88.66,106.32,124.2,140.95,157.69,171.4,183.63
北北基桃竹,2017,6,1568,730785,2.15,25.08,42.47,58.57,71.23,91.75,113.74,131.4,149.28,166.03,182.77,196.48
北北基桃竹,2017,7,1452,731961,1.98,20.82,45.9,63.29,79.39,92.05,112.57,134.56,152.22,170.1,186.85,203.59
北北基桃竹,2017,8,1497,730703,2.05,17.7,38.52,63.6,80.99,97.09,109.75,130.27,152.26,169.92,187.8,204.55
北北基桃竹,2017,9,1263,728955,1.73,24.09,41.79,62.61,87.69,105.08,121.18,133.84,154.36,176.35,194.01,211.89
北北基桃竹,2017,10,1468,728955,2.01,23.58,47.67,65.37,86.19,111.27,128.66,144.76,157.42,177.94,199.93,217.59
北北基桃竹,2017,11,1387,728467,1.9,17.39,40.97,65.06,82.76,103.58,128.66,146.05,162.15,174.81,195.33,217.32
北北基桃竹,2017,12,1469,728220,2.02,15.0,32.39,55.97,80.06,97.76,118.58,143.66,161.05,177.15,189.81,210.33
北北基桃竹,2017,13,1524,734017,2.08,32.8,47.8,65.19,88.77,112.86,130.56,151.38,176.46,193.85,209.95,222.61
北北基桃竹,2017,14,1322,727870,1.82,28.84,61.64,76.64,94.03,117.61,141.7,159.4,180.22,205.3,222.69,238.79
北北基桃竹,2017,15,1577,730871,2.16,21.73,50.57,83.37,98.37,115.76,139.34,163.43,181.13,201.95,227.03,244.42
北北基桃竹,2017,16,1384,731138,1.89,22.99,44.72,73.56,106.36,121.36,138.75,162.33,186.42,204.12,224.94,250.02
北北基桃竹,2017,17,1368,726128,1.88,18.77,41.76,63.49,92.33,125.13,140.13,157.52,181.1,205.19,222.89,243.71
北北基桃竹,2017,18,1406,726137,1.94,24.66,43.43,66.42,88.15,116.99,149.79,164.79,182.18,205.76,229.85,247.55
北北基桃竹,2017,19,1408,732413,1.92,19.8,44.46,63.23,86.22,107.95,136.79,169.59,184.59,201.98,225.56,249.65
北北基桃竹,2017,20,1316,725423,1.81,13.48,33.28,57.94,76.71,99.7,121.43,150.27,183.07,198.07,215.46,239.04
北北基桃竹,2017,21,1266,726384,1.74,12.84,26.32,46.12,70.78,89.55,112.54,134.27,163.11,195.91,210.91,228.3
北北基桃竹,2017,22,1120,730602,1.53,10.87,23.71,37.19,56.99,81.65,100.42,123.41,145.14,173.98,206.78,221.78
北北基桃竹,2017,23,1284,729012,1.76,19.25,30.12,42.96,56.44,76.24,100.9,119.67,142.66,164.39,193.23,226.03
北北基桃竹,2017,24,1244,727243,1.71,8.77,28.02,38.89,51.73,65.21,85.01,109.67,128.44,151.43,173.16,202.0
北北基桃竹,2017,25,1277,727677,1.75,10.93,19.7,38.95,49.82,62.66,76.14,95.94,120.6,139.37,162.36,184.09
北北基桃竹,2017,26,1222,728453,1.68,14.58,25.51,34.28,53.53,64.4,77.24,90.72,110.52,135.18,153.95,176.94
北北基桃竹,2017,27,1278,731479,1.75,9.67,24.25,35.18,43.95,63.2,74.07,86.91,100.39,120.19,144.85,163.62
北北基桃竹,2017,28,1193,729410,1.64,13.19,22.86,37.44,48.37,57.14,76.39,87.26,100.1,113.58,133.38,158.04
北北基桃竹,2017,29,1207,725160,1.66,13.81,27.0,36.67,51.25,62.18,70.95,90.2,101.07,113.91,127.39,147.19
北北基桃竹,2017,30,1175,725160,1.62,15.29,29.1,42.29,51.96,66.54,77.47,86.24,105.49,116.36,129.2,142.68
北北基桃竹,2017,31,1115,726128,1.54,14.58,29.87,43.68,56.87,66.54,81.12,92.05,100.82,120.07,130.94,143.78
北北基桃竹,2017,32,1109,725160,1.53,14.62,29.2,44.49,58.3,71.49,81.16,95.74,106.67,115.44,134.69,145.56
北北基桃竹,2017,33,1027,725160,1.42,17.9,32.52,47.1,62.39,76.2,89.39,99.06,113.64,124.57,133.34,152.59
北北基桃竹,2017,34,1072,726417,1.48,12.23,30.13,44.75,59.33,74.62,88.43,101.62,111.29,125.87,136.8,145.57
北北基桃竹,2017,35,1075,729312,1.47,10.26,22.49,40.39,55.01,69.59,84.88,98.69,111.88,121.55,136.13,147.06
北北基桃竹,2017,36,1129,727243,1.55,15.45,25.71,37.94,55.84,70.46,85.04,100.33,114.14,127.33,137.0,151.58
北北基桃竹,2017,37,1112,725160,1.53,15.65,31.1,41.36,53.59,71.49,86.11,100.69,115.98,129.79,142.98,152.65
北北基桃竹,2017,38,1122,726137,1.55,24.9,40.55,56.0,66.26,78.49,96.39,111.01,125.59,140.88,154.69,167.88
北北基桃竹,2017,39,1170,726137,1.61,19.17,44.07,59.72,75.17,85.43,97.66,115.56,130.18,144.76,160.05,173.86
北北基桃竹,2017,40,1098,730536,1.5,18.25,37.42,62.32,77.97,93.42,103.68,115.91,133.81,148.43,163.01,178.3
北北基桃竹,2017,41,994,730536,1.36,8.61,26.86,46.03,70.93,86.58,102.03,112.29,124.52,142.42,157.04,171.62
北北基桃竹,2017,42,1161,728197,1.59,10.26,18.87,37.12,56.29,81.19,96.84,112.29,122.55,134.78,152.68,167.3
北北基桃竹,2017,43,1284,730114,1.76,20.92,31.18,39.79,58.04,77.21,102.11,117.76,133.21,143.47,155.7,173.6
北北基桃竹,2017,44,1418,729710,1.94,15.66,36.58,46.84,55.45,73.7,92.87,117.77,133.42,148.87,159.13,171.36
北北基桃竹,2017,45,1296,725160,1.79,14.78,30.44,51.36,61.62,70.23,88.48,107.65,132.55,148.2,163.65,173.91
北北基桃竹,2017,46,1348,728641,1.85,13.54,28.32,43.98,64.9,75.16,83.77,102.02,121.19,146.09,161.74,177.19
北北基桃竹,2017,47,1310,730572,1.79,9.45,22.99,37.77,53.43,74.35,84.61,93.22,111.47,130.64,155.54,171.19
北北基桃竹,2017,48,1391,730117,1.91,12.31,21.76,35.3,50.08,65.74,86.66,96.92,105.53,123.78,142.95,167.85
北北基桃竹,2017,49,1405,731546,1.92,16.8,29.11,38.56,52.1,66.88,82.54,103.46,113.72,122.33,140.58,159.75
北北基桃竹,2017,50,1480,728500,2.03,12.55,29.35,41.66,51.11,64.65,79.43,95.09,116.01,126.27,134.88,153.13
北北基桃竹,2017,51,1576,729163,2.16,16.01,28.56,45.36,57.67,67.12,80.66,95.44,111.1,132.02,142.28,150.89
北北基桃竹,2017,52,1621,728467,2.23,24.22,40.23,52.78,69.58,81.89,91.34,104.88,119.66,135.32,156.24,166.5
北北基桃竹,2018,1,1403,803291,1.75,12.52,36.74,52.75,65.3,82.1,94.41,103.86,117.4,132.18,147.84,168.76
北北基桃竹,2018,2,1618,798214,2.03,12.28,24.8,49.02,65.03,77.58,94.38,106.69,116.14,129.68,144.46,160.12
北北基桃竹,2018,3,1615,804294,2.01,16.95,29.23,41.75,65.97,81.98,94.53,111.33,123.64,133.09,146.63,161.41
北北基桃竹,2018,4,1574,800548,1.97,10.72,27.67,39.95,52.47,76.69,92.7,105.25,122.05,134.36,143.81,157.35
北北基桃竹,2018,5,1448,800590,1.81,14.77,25.49,42.44,54.72,67.24,91.46,107.47,120.02,136.82,149.13,158.58
北北基桃竹,2018,6,1677,798185,2.1,18.19,32.96,43.68,60.63,72.91,85.43,109.65,125.66,138.21,155.01,167.32
北北基桃竹,2018,7,1355,795852,1.7,26.62,44.81,59.58,70.3,87.25,99.53,112.05,136.27,152.28,164.83,181.63
北北基桃竹,2018,8,1412,802050,1.76,21.53,48.15,66.34,81.11,91.83,108.78,121.06,133.58,157.8,173.81,186.36
北北基桃竹,2018,9,1611,802014,2.01,29.31,50.84,77.46,95.65,110.42,121.14,138.09,150.37,162.89,187.11,203.12
北北基桃竹,2018,10,1629,801332,2.03,15.41,44.72,66.25,92.87,111.06,125.83,136.55,153.5,165.78,178.3,202.52
北北基桃竹,2018,11,1606,796634,2.02,21.49,36.9,66.21,87.74,114.36,132.55,147.32,158.04,174.99,187.27,199.79
北北基桃竹,2018,12,1599,798185,2.0,18.94,40.43,55.84,85.15,106.68,133.3,151.49,166.26,176.98,193.93,206.21
北北基桃竹,2018,13,1501,802468,1.87,19.58,38.52,60.01,75.42,104.73,126.26,152.88,171.07,185.84,196.56,213.51
北北基桃竹,2018,14,1180,796314,1.48,26.07,45.65,64.59,86.08,101.49,130.8,152.33,178.95,197.14,211.91,222.63
北北基桃竹,2018,15,1675,798563,2.1,21.67,47.74,67.32,86.26,107.75,123.16,152.47,174.0,200.62,218.81,233.58
北北基桃竹,2018,16,1438,803587,1.79,22.27,43.94,70.01,89.59,108.53,130.02,145.43,174.74,196.27,222.89,241.08
北北基桃竹,2018,17,1461,797122,1.83,22.6,44.87,66.54,92.61,112.19,131.13,152.62,168.03,197.34,218.87,245.49
北北基桃竹,2018,18,1303,796204,1.64,22.14,44.74,67.01,88.68,114.75,134.33,153.27,174.76,190.17,219.48,241.01
北北基桃竹,2018,19,1351,798166,1.69,16.82,38.96,61.56,83.83,105.5,131.57,151.15,170.09,191.58,206.99,236.3
北北基桃竹,2018,20,1380,804741,1.71,20.25,37.07,59.21,81.81,104.08,125.75,151.82,171.4,190.34,211.83,227.24
北北基桃竹,2018,21,1235,798166,1.55,18.83,39.08,55.9,78.04,100.64,122.91,144.58,170.65,190.23,209.17,230.66
北北基桃竹,2018,22,1219,800509,1.52,16.42,35.25,55.5,72.32,94.46,117.06,139.33,161.0,187.07,206.65,225.59
北北基桃竹,2018,23,1277,798144,1.6,12.37,28.79,47.62,67.87,84.69,106.83,129.43,151.7,173.37,199.44,219.02
北北基桃竹,2018,24,1182,799716,1.48,13.9,26.27,42.69,61.52,81.77,98.59,120.73,143.33,165.6,187.27,213.34
北北基桃竹,2018,25,1126,798989,1.41,9.31,23.21,35.58,52.0,70.83,91.08,107.9,130.04,152.64,174.91,196.58
北北基桃竹,2018,26,1148,797025,1.44,14.55,23.86,37.76,50.13,66.55,85.38,105.63,122.45,144.59,167.19,189.46
北北基桃竹,2018,27,1165,799707,1.46,9.64,24.19,33.5,47.4,59.77,76.19,95.02,115.27,132.09,154.23,176.83
北北基桃竹,2018,28,1092,797886,1.37,9.38,19.02,33.57,42.88,56.78,69.15,85.57,104.4,124.65,141.47,163.61
北北基桃竹,2018,29,1180,798510,1.48,9.23,18.61,28.25,42.8,52.11,66.01,78.38,94.8,113.63,133.88,150.7
北北基桃竹,2018,30,1138,797374,1.43,17.2,26.43,35.81,45.45,60.0,69.31,83.21,95.58,112.0,130.83,151.08
北北基桃竹,2018,31,1110,796996,1.39,16.03,33.23,42.46,51.84,61.48,76.03,85.34,99.24,111.61,128.03,146.86
北北基桃竹,2018,32,1057,798574,1.32,18.23,34.26,51.46,60.69,70.07,79.71,94.26,103.57,117.47,129.84,146.26
北北基桃竹,2018,33,1101,796996,1.38,11.41,29.64,45.67,62.87,72.1,81.48,91.12,105.67,114.98,128.88,141.25
北北基桃竹,2018,34,1124,801980,1.4,10.2,21.61,39.84,55.87,73.07,82.3,91.68,101.32,115.87,125.18,139.08
北北基桃竹,2018,35,1180,800135,1.47,11.24,21.44,32.85,51.08,67.11,84.31,93.54,102.92,112.56,127.11,136.42
北北基桃竹,2018,36,1234,799625,1.54,15.33,26.57,36.77,48.18,66.41,82.44,99.64,108.87,118.25,127.89,142.44
北北基桃竹,2018,37,1205,799339,1.51,9.7,25.03,36.27,46.47,57.88,76.11,92.14,109.34,118.57,127.95,137.59
